Name;stellar radius
HD 017163;1.76896
HD 161912;77.9713
HD 022468;3.03985
HD 095880;69.6723
HD 017943;2.5702
HD 157919;3.01831
HD 056022;2.05634
HD 061248;27.2542
HD 019107;1.88474
HD 049877;48.0746
HD 096670;55.1868
HD 193092;144.031
HD 214698;4.13008
HD 200527;190.094
HD 217476;421.596
HD 024863;2.98215
HD 050896;38.5204
HD 058343;10.5081
HD 033959;4.15062
HD 224355;3.55385
HD 201078;33.9264
HD 193237;115.228
HD 213617;1.6677
HD 218753;38.5033
HD 108968;44.8439
HD 050337;28.4122
HD 040292;1.7289
HD 027628;1.81647
HD 198478;86.5025
HD 201092;0.689846
HD 195295;26.0493
HD 215664;2.41518
HD 201433;2.50732
HD 050123;8.1532
HD 016212;50.8396
HD 220974;2.17348
HD 218155;1.72835
HD 183362;10.2649
HD 160032;1.62138
HD 035296;1.17966
HD 206165;48.3942
HD 068808;68.3174
HD 223128;7.98219
HD 019319;2.56654
HD 025346;2.79004
HD 195068;1.63919
HD 186702;155.155
HD 027396;5.26084
HD 064440;29.8575
HD 047973;19.8646
HD 219586;5.18531
HD 206043;1.58642
HD 015633;2.47114
HD 055892;1.60696
HD 158220;8.17324
HD 025470;92.7949
HD 018633;3.1727
HD 020888;1.61995
HD 198639;1.91513
HD 216672;183.985
HD 186155;3.01307
HD 038899;2.82167
HD 223173;125.243
HD 207223;1.81722
HD 184006;2.84966
HD 087543;10.3583
HD 110335;8.58823
HD 110432;23.6129
HD 212571;12.2526
HD 206487;100.793
HD 148688;75.7654
HD 014690;3.76106
HD 023697;6.65545
HD 061715;54.6266
HD 188947;10.5354
HD 067523;3.24941
HD 159492;1.7583
HD 020234;178.397
HD 177196;1.8079
HD 210090;77.5965
HD 181296;1.61681
HD 204188;1.45618
HD 218396;1.49338
HD 027459;2.06735
HD 027397;1.91138
HD 099556;11.9505
HD 219134;0.750598
HD 032977;2.27987
HD 192696;2.69923
HD 220369;113.698
HD 032537;1.62058
HD 105211;1.78292
HD 211029;88.8122
HD 209747;22.0606
HD 102350;19.9971
HD 163376;65.8489
HD 201601;2.08786
HD 020320;1.99466
HD 074006;18.3579
HD 205924;2.10283
HD 189849;4.20853
HD 065456;29.3899
HD 187013;1.5977
HD 006961;2.52427
HD 210074;2.66305
HD 053047;89.3739
HD 038871;16.4847
HD 025642;6.91163
HD 206859;59.0604
HD 038944;64.863
HD 216489;11.4735
HD 090853;42.5191
HD 092063;12.8157
HD 028527;2.27881
HD 022049;0.755368
HD 031283;2.74672
HD 212593;32.2593
HD 090772;171.49
HD 109787;2.67292
HD 018331;2.36828
HD 224014;285.63
HD 002905;35.7251
HD 051799;138.771
HD 091056;261.399
HD 094510;7.06481
HD 176723;2.77749
HD 048917;17.3485
HD 032301;2.92729
HD 157792;1.91432
HD 218376;12.8459
HD 068553;129.903
HD 050013;13.8021
HD 073634;31.5849
HD 217014;1.17561
HD 192640;1.93986
HD 175813;1.92233
HD 093563;5.82384
HD 063462;14.4954
HD 032045;5.21851
HD 020630;0.945495
HD 212075;2.91218
HD 021552;31.8755
HD 019349;95.4173
HD 027290;1.66959
HD 030739;2.82687
HD 018866;4.27408
HD 104671;4.79188
HD 028910;2.6756
HD 026630;57.1464
HD 029388;2.70312
HD 178449;2.48067
HD 203156;44.8066
HD 100673;4.6817
HD 019476;8.38927
HD 169767;8.714
HD 218329;38.777
HD 062623;58.5857
HD 178253;2.10195
HD 021018;29.3658
HD 018543;3.98648
HD 161840;7.0369
HD 012216;2.63923
HD 039357;5.23523
HD 031767;87.2104
HD 205435;8.00531
HD 200120;18.2463
HD 167128;9.28843
HD 096918;633.22
HD 022192;8.51843
HD 055719;4.39717
HD 030478;2.97352
HD 025940;10.3067
HD 028024;3.46184
HD 054118;2.63153
HD 178345;38.6109
HD 022634;2.77316
HD 027962;2.3842
HD 051309;18.5389
HD 155341;174.132
HD 032549;4.05704
HD 021790;4.22227
HD 074180;614.047
HD 173648;3.02036
HD 000761;2.68915
HD 027934;2.95956
HD 206155;2.48905
HD 018322;10.8615
HD 039060;1.54416
HD 028319;4.59679
HD 026961;5.42988
HD 033641;2.53095
HD 030959;120.158
HD 027371;11.3432
HD 202904;9.61438
HD 144470;7.89723
HD 102249;3.47246
HD 027697;12.6678
HD 039003;18.296
HD 026673;31.3563
HD 028052;3.06298
HD 023817;9.43171
HD 211336;2.08817
HD 033276;6.70961
HD 122223;36.8589
HD 004614;1.10787
HD 162517;2.6806
HD 141556;3.25846
HD 027463;2.7585
HD 210418;2.40784
HD 172167;2.45959
HD 022484;1.84115
HD 039587;0.993029
HD 030780;2.63623
HD 202444;2.31533
HD 128621;1.22533
HD 011415;18.45433
HD 012111;3.730877
HD 020395;1.480739
HD 022928;19.21535
HD 023630;22.13527
HD 028305;16.63642
HD 029140;5.445637
HD 032068;90.10802
HD 032630;8.669392
HD 036267;5.659228
HD 036389;158.0351
HD 037367;30.84156
HD 047670;16.28253
HD 050877;184.6076
HD 063032;111.0217
HD 089080;12.84656
HD 091465;14.08427
HD 093206;28.85612
HD 098718;6.011921
HD 101379;16.55614
HD 134505;11.61797
HD 136504;20.09853
HD 145502;30.69952
HD 157246;32.56029
HD 175775;33.42486
HD 187459;35.47559
HD 192577;103.5039
HD 199629;5.785362
HD 200905;138.4957
HD 205021;16.31736
HD 207652;1.782095
HD 218634;125.9183
HD 000123;1.0
HD 000432;2.9
HD 003360;8.2
HD 003712;41.0
HD 003901;4.5
HD 005394;23.0
HD 006811;19.0
HD 008538;4.6
HD 012311;2.1
HD 014386;440.0
HD 016582;7.2
HD 016620;0.98
HD 016970;1.8
HD 018883;5.2
HD 018884;29.0
HD 019058;61.0
HD 019356;3.8
HD 020902;63.0
HD 023249;3.9
HD 023302;5.6
HD 023338;3.3
HD 023363;4.4
HD 023408;5.2
HD 023480;5.1
HD 023850;2.0
HD 024912;26.0
HD 029139;52.0
HD 029248;8.4
HD 029763;3.9
HD 030211;5.9
HD 030836;9.3
HD 031237;9.9
HD 031964;2700.0
HD 032249;4.7
HD 033111;4.5
HD 033328;6.9
HD 034085;65.0
HD 034452;3.1
HD 034503;5.4
HD 034759;3.4
HD 034816;77.0
HD 035039;6.9
HD 035149;2.2
HD 035411;4.6
HD 035439;6.6
HD 035468;8.4
HD 035497;5.2
HD 035715;2.2
HD 036486;18.0
HD 036822;3.6
HD 037018;3.6
HD 037128;36.0
HD 037202;9.8
HD 037350;350.0
HD 037438;4.5
HD 037468;5.6
HD 037490;7.1
HD 037711;4.3
HD 037742;20.0
HD 038771;38.0
HD 039801;530.0
HD 040111;27.0
HD 040183;3.7
HD 040312;3.3
HD 041116;4.1
HD 041753;5.5
HD 044402;3.9
HD 044743;14.0
HD 050310;12.0
HD 050707;9.7
HD 052089;13.0
HD 053138;61.0
HD 053244;17.0
HD 054605;350.0
HD 054893;3.9
HD 056139;6.2
HD 056855;48.0
HD 057060;44.0
HD 057061;20.0
HD 058350;74.0
HD 059635;5.6
HD 062747;6.6
HD 064503;3.9
HD 064722;8.4
HD 064740;8.4
HD 064760;27.0
HD 065575;6.9
HD 065818;7.7
HD 066811;26.0
HD 068273;17.0
HD 071129;70.0
HD 074195;7.1
HD 074575;8.4
HD 074956;2.6
HD 075311;4.5
HD 076728;5.0
HD 078764;4.5
HD 079351;6.9
HD 079447;5.6
HD 080007;3.9
HD 080404;190.0
HD 081188;6.9
